entry_date,exit_date,ret,cost,n_pos,cum,dd
2025-12-15,2025-12-18,0.006687344745229462,0.001,74,1.0066873447452294,0.0
2025-12-18,2025-12-23,-0.013718721708511262,0.0006545454545454546,74,0.9928768812151894,-0.013718721708511294
2025-12-23,2025-12-26,-0.0030668299515116226,0.0006037735849056604,74,0.9898318966577151,-0.016743478673390877
2025-12-26,2025-12-31,-0.009894450667526145,0.0006422018348623854,74,0.9800380537870915,-0.02647226181718043
2025-12-31,2026-01-07,-0.008660380694237935,0.0006168224299065421,74,0.9715505511464553,-0.03490338264624404
2026-01-07,2026-01-12,0.02334625132487393,0.0006785714285714286,74,0.9942326144883402,-0.012371994464717484
2026-01-12,2026-01-15,-0.007307405281313617,0.0007017543859649123,74,0.9869673538303739,-0.019588992568339236
2026-01-15,2026-01-20,-0.0003285751520538923,0.0007017543859649123,74,0.9866430608820169,-0.019911131264181314
2026-01-20,2026-01-23,-0.02809684883839432,0.0006422018348623854,74,0.9589214999429642,-0.047448540057244526
2026-01-23,2026-01-28,0.016222382324449933,0.0006545454545454546,74,0.9744774911341738,-0.03199588609034032
2026-01-28,2026-02-02,0.024376123122753078,0.0006037735849056604,74,0.998231474438412,-0.00839969862634693
2026-02-02,2026-02-05,-0.0020081757542808358,0.0006422018348623854,74,0.9962268501942848,-0.01039100630950307
2026-02-05,2026-02-10,-0.0057863676265369444,0.0007017543859649123,74,0.9904623153996337,-0.016117247753523634
2026-02-10,2026-02-13,-0.0039853313506348345,0.0006545454545454546,74,0.9865149948824492,-0.020038346531400353
2026-02-13,2026-02-26,0.030893535104850274,0.0006545454545454546,74,1.0169919305083113,0.0
2026-02-26,2026-03-03,-0.005472935459270278,0.0006422018348623854,74,1.0114259993100405,-0.005472935459270412
2026-03-03,2026-03-06,-0.016353887524491743,0.0006902654867256637,74,0.9948852522779774,-0.021737319212832396
2026-03-06,2026-03-11,0.016672494700728634,0.0006296296296296297,74,1.011472471374415,-0.005427239851487853
2026-03-11,2026-03-16,-0.0007609857473011717,0.0006422018348623854,74,1.0107027552399115,-0.0061840955466149206
2026-03-16,2026-03-19,-0.002580964511655636,0.0006785714285714286,74,1.0080941672968047,-0.008749099127128068
2026-03-19,2026-03-24,-0.014561583190730313,0.0007457627118644067,74,0.9934147202156223,-0.02318328158307481
2026-03-24,2026-03-27,0.005007327610521478,0.0006296296296296297,74,0.9983890731728565,-0.0182920402585266
2026-03-27,2026-04-01,-0.00351805064062155,0.0005904761904761904,74,0.9948766898543913,-0.021745738575198348
2026-04-01,2026-04-07,0.008814652901304905,0.0006785714285714286,74,1.0036461825550569,-0.013122766811516362
2026-04-07,2026-04-10,0.020035989753793546,0.0006545454545454546,74,1.023755227185164,0.0
2026-04-10,2026-04-15,0.001749870171785086,0.0006902654867256637,74,1.0255466659204244,0.0
2026-04-15,2026-04-20,0.014883477554363502,0.0006422018348623854,74,1.0408103667036035,0.0
2026-04-20,2026-04-20,-0.0006545454545454546,0.0006545454545454546,74,1.0401291090090339,-0.0006545454545454632
